A1165,ambedkar college kengunte  mallathahalli opposite of ambedkar college
A324,ambedkar medical college shampura tany road in front of ambedkar medical college
A2519,ambedkar medical college shampura tany road opposite of ambedkar medical college
A3590,ambedkar nagara
A3623,ambedkar nagara ambedkarnagara
A1104,amc college bannerghatta road
A328,amma ashrama
A329,amma ashrama cross
A4590,amrita nagara choodasandra opposite of s.m.j.sky shoppy
A2603,amrutahalli amruthahalli beside amruth clinic
A1823,amrutahalli amruthahalli beside s.l.j. iyengar bakery & sweets
A3225,amruth nagara amruth nagara in front of india ltd
A4589,amruthanandamayi college kasavanahalli opposite of amrita college
A1216,amruthnagar amruth nagara opposite of india ltd
A3433,amruthnagar in front of r.m.z.
A4387,anagalipura angalapura beside bakery
A3767,anand ashrama
A3502,ananda nagara anandapura in front of krishna bakery & sweets
A2909,ananda rao circle in front of director of medical education
A2371,ananda rao circle neharu nagara beside director of medical education
A516,ananda rao circle neharu nagara beside tata consultency service
A1381,ananda rao circle neharu nagara janatha dala(s) office
A2467,ananda rao circle neharu nagara opposite to ganesha temple
A299,ananda rao circle neharu nagara shivasai mandira
A1419,ananda rao circle opposite of dhqf water tank service office
A337,anandanagar
A5190,anandapura anandapura in front of national bakery & sweets
A4290,anantapura gate yelahanka beside ramanashree california resort
A498,anantapura gate yelahanka in front of d.g.plant staff colony
A1871,anantapura gate yelahanka in front of prestige group garden
A4291,anantapura yelahanka opposite of ashwatha katte
A5291,ancharahalli gate ancharahalli in front of andrew wood craft
A2718,ancharahalli gate ancharahalli opposite of andrew wood craft
A70,anche palya
A273,anche palya anchepalya mysore road
A2769,anchemuskuru chikka tirupathi opposite of ashwatha katte
A99,anchepalya nelamangla road
A361,anchipura anchipura in front of milk dairy
A4011,anchipura anchipura opposite of milk dairy
A360,anchipura colony anchipura colony in front of government middle school
A363,anchipura cross chikka kuntanahalli near ashwatha katte
A383,andrahalli andarahalli beside gandhi enterprises
A3308,andrahalli andarahalli beside ganesha temple
A4963,andrahalli ittharahalli opposite of akkandeshwari temple
A395,anekal  anekal bus stand
A1231,anekal bus stand
A1126,anekal circle
A397,anekal circle anekal in front of ashwatha katte & anjaneya temple
A1230,anekal circle anekal in front of hotel sri sai sagar
A1737,anepalya
A476,anjananagar gollarahatti
A2309,anjanapura
A1094,anjanapura anjanapura in front of santa mahaganapathi temple
A3224,anjanapura anjanapura in front of shiva temple
A1214,anjanapura anjanapura in front of shrine public school
A2275,anjaneya temple anekal temple
A4747,anjaneya temple gate
A5011,anjaneya temple pramodha layout opposite of anjaneya temple
A5251,ankana halli ankanahalli in front of milk dairy
A4207,ankana halli in front of kiran provision store
A1633,ankana halli opposite of kiran provision store
A407,annahalli annahalli in front of govt. high school & college
A418,annapoorneshwari nagara
A419,annapoorneshwari nagara annapoorneshwari nagara near annapoorneshwari bakery
A3313,annapurna nagara
A2929,annasandra palya
A441,annekarana halli athimgere in front of government primary school
A3490,anneshwara beside residential area
A2761,anugondana halli cross opposite of govt. general hospital
A530,anugondanahalli cross in front of govt. hospital
A4578,anugondanahalli in front of ragi machiine
A4411,anugondanahalli opposite of govt. general hospital
A2331,apartment sarjapura road
A4042,apco factory k.g.gollara palya opposite of orion precast pvt.ltd.
A5152,apex bank
A3090,apex bank banashankari 1st stage hanumantha nagara beside anju furnitures
A646,apex bank banashankari 1st stage hanumantha nagara beside plants show  room
A5153,apex bank srinagara
A477,apmc fruit market huskuru near sigena agrahara
A3643,appartments ambalipura opposite of the fishermens wharf
A4727,appasandra
A3185,aps college somanahalli somanahalli in front of power grid corporation ltd
A5090,arabic college
A166,arabic college arabic college in front of arabic college
A2835,arabic college arabic college opposite of arabic college
A2209,aradeshanahalli cross beside green house dhaba
A489,aradeshanahalli gate opposite of anjaneya temple
A3418,aradeshanahalli in front of anjaneya temple
A488,aradeshanahalli in front of maligeswara agency
A4309,aradeshanahalli opposite of maligeswara agency
A4316,arahalli doddaballapura opposite of bombay rain factory
A2441,arakere arekere beside residential area
A3747,arakere gate
A1371,arakere gate byrapura
A4334,arakere gate byrapura arekere beside venugopal swamy temple
A2442,arakere gate byrapura arekere colony beside open area
A3659,aralimara
A2894,aralimara sulthanpalya sulthanpalya  rt nagara in front of ramakrishna apartment
A2865,aralimara sunkadakatte sunkada katte in front of raj jewellers & bankers
A1483,aralimara sunkadakatte sunkada katte opposite of state bank of mysore
A517,aralimarada palya in front of water tank
A4037,arasu colony kolliganahalli
A2947,aravinda limited
A1548,archakara badavane old byrohalli in front of lakshminarasimha temple
A4355,are binnamangala arebinna mangala beside govt primary school
A5285,are binnamangala arebinna mangala beside open area
A1065,arehalli arehalli in front of venkateshwara iyengar bakery
A2015,arehalli attibele-hubli opposite of sri maramma devi temple
A526,arehalli cross in front of aladamara
A2764,arehalli cross opposite of aladamara
A3175,arehalli gate arehalli cross opposite of r.k colour lab
A1907,arehalli gate arehalli in front of sri lakshmi stores
A3510,arehalli in front of aladamara
A3511,arehalli in front of ashwatha katte
A525,arehalli opposite of ashwatha katte
A3749,arekere bts layout
A3741,arekere gate
A2922,arekere mico layout
A4610,areneru anekal taluku in front of milk product co-operative society
A5217,arevesandra gate  aravesandra opposite of petty shop
A576,arishinakunte
A95,arishinakunte arishina kunte beside petty shop
A4977,arishinakunte sulibele arashina kunte opposite of milk dairy
A561,arjuna bettahalli arjuna bettahalli in front of basavanna temple
A4877,asc center astintown cross
A944,asc center austin town beside quarters
A204,ashoka pillar jayanagara 1st block beside hemachandra kalyana mantapa
A3865,ashoka pillar jayanagara 1st block opposite of costa coffee
A770,ashoka pillar jayanagara 1st block opposite of govt.central pharmacy
A3327,ashrama binnamangala
A766,ashrama bismilla nagara bannerghatta road
A575,ashrama nelamangala
A1739,ashrama opposite of bharath petrol bunk
A266,ashrama ramohalli ramohalli in front of mythreyi gurukula ashrama
A1082,ashrama ramohalli ramohalli opposite of mythreyi gurukula ashrama
A4114,ashrama savandarbar sunkalpalya in front of savan darbar ashrama
A1072,ashrama savandarbar sunkalpalya opposite of savan darbar ashrama
A578,ashraya badavane
A579,ashraya nagara
A2045,ashwatanagara bhupasandra ashwatha nagara beside eye glow opticians
A3126,ashwatanagara bhupasandra ashwatha nagara beside spin motors
A1724,ashwatanagara bhupasandra ashwatha nagara beside st john medical chemists & druggist
A160,ashwathanagara nagawara
A442,athimagere village manchanabele
A4142,athimgere gate athimgere beside maramma temple arch
A443,athimgere gate athimgere in front of arch shanimahathma temple
A2014,attibele
A2336,attibele anekal taluku beside panchayat complex
A3740,attibele anekal taluku in front of s.v. furniture
A595,attibele anekal taluku in front of sri raghava sagara hotel
A4980,attibele attibele in front of govt. higher primary school
A1236,attiguppe rpc layout beside syndicate bank
A1305,attiguppe rpc layout opposite of syndicate bank
A4720,attivatta gate
A631,atturu
A4737,atturu hosakote
A4745,atturu hosakote attur in front of milk dairy
A2155,atturu layout yelahanka road attur layout beside open area
A632,atturu layout yelahanka road attur layout beside sri ranganatha enterprises
A1766,audugodi
A101,audugodi adugodi beside maico play ground
A4828,audugodi police station
A2778,audugudi police station
A945,austin town austin town beside kaliyamma temple
A2271,avadadenahalli avadadenahalli tree
A2577,avalahalli
A3558,avalahalli  avalahalli in front of geetha hospital
A3417,avalahalli  in front of sai baba temple
A2622,avalahalli avalahalli in front of muneshwara temple
A4088,avalahalli bda layout cross avalahalli b.d.a in front of aditya gases
A4087,avalahalli bda layout vishweshwaraya layout in front of saakar printing design & engineering
A660,avalahalli bda park avalahalli bda beside bescom
A642,avalahalli bda park avalahalli bda opposite of bda park
A495,avalahalli doddaballapura road in front of indian oil petrol bank
A2542,avalahalli huskuru sarjapura  hobli opposite of shri renuka yallamma devi temple
A2311,avalahalli j.p.nagara 9th phase  avalahalli in front of anu's bakery
A1092,avalahalli j.p.nagara 9th phase  avalahalli in front of h.t.m.enterprises
A661,avalahalli new bda layout avalahalli bda beside indane lpg godown
A3843,avalahalli new bda layout bda layout
A3750,avani shringeri nagara
A662,avaragere avaragere in front of anganavadi
A3073,avaragere cross bidadi in front of s.l.n.public school
A1623,avaragere cross bidadi near s.l.n.public school
A1627,avaragere cross nelliguddakere beside open area
A671,avarehalli averahalli beside sri anjaneya swamy temple
A668,avarehalli averahalli in front of government school
A685,avathi
A672,averehalli cross averahalli cross beside open area
A437,avinasha petrol bunk vasantha nagara beside petrol bunk
A3594,ayurvedic hospital
A1447,ayyappa bakery o.m.b.r.layout opposite of ayyappa bakery
A3743,ayyappa mantapa
A712,ayyappa nagara ayyappa nagara in front of raashi medicals
A3555,ayyappa nagara ayyappa nagara opposite of raashi medicals
A1449,ayyappa temple subbaiahan palya in front of mitsubishi electric
A292,azad nagar
A3551,b channasandra bridge
A2996,b channasandra bridge ramamurthi nagara beside railway bridge
A3006,b channasandra ramamurthi nagara bridge by pass
A1052,b k circle j.p.nagara 8th phase in front of universal granites
A2183,b narayanapura b.narayana pura opposite of home city zuzri funiture
A837,b narayanapura b.narayana pura opposite of more mega store
A549,b narayanapura dooravani nagara in front of sri manjunatha steel alloys
A1970,b narayanapura dooravani nagara opposite of sri manjunatha steel alloys
A921,b p l opposite of cinema hall
A539,b p l whitefield beside cinema hall
A2474,b station
A2626,baalenahalli magadi managal opp to anjaneya temple
A734,babusab palya h.r.b.r. in front of nandini milk parlour
A2178,babusab palya kalyana nagara in front of hotel little imperial
A842,babusab palya kalyana nagara in front of shri r.v.plaza
A692,bachahalli gate devanahalli beside open area
A4093,bade katte badekatte opposite of door no 35
A2027,bagalagunte bagalagunte beside hotel elite
A1496,bagalagunte bagalagunte beside mataji steel center
A3846,bagalagunte bagalagunte beside new padha raksha
A3286,bagalagunte village bagalagunte village beside maramma temple
A745,bagaluru
A3922,bagaluru bagaluru beside ashwatha katte
A2571,bagaluru bagaluru beside grama devathe temple
A5284,bagaluru colony bagaluru beside open area
A3918,bagaluru cross beside open area
A707,bagaluru cross in front of coconut tree farm
A3394,bagaluru cross yelahanka beside ganesha medicals
A2951,baguru baguru in front of small water tank & houses
A2004,baguru baguru opposite of water tank
A3491,baichapura bychapura in front of venkateshwara temple
A1667,bairavana doddy
A1660,bairegowdana halli colony byre gowdanahalli colony beside petty shop
A2071,bairegowdana palya cross in front of water tank
A239,baiyappanahalli satellite bus station
A3355,bakery
A2283,bakery ejipura
A1172,bakery jalahalli beside apollo pharmacy
A857,bakery jalahalli beside krishna bakery
A5036,bakery nandini layout nandini layout opposite of s.s.v.b.bakery
A1567,bakery pattanagere halage vaderahalli in front of guru hardware stores
A4662,balagaranahalli gate attibele-hubli opposite of a.v.s.ready mix concrete product private limited
A4582,balagere panathuru post  varthuru hobli beside balagere milk product co-operative limited
A3226,balaji badavane
A3353,balaji nagar
A3309,balaji nagara
A765,balajinagara
A3496,baldwin school dodda banasawadi in front of rashi diagnostic
A722,baldwin school dodda banasawadi in front of veeneers laminates building
A4978,balepura balepura opposite of govt. primary school
A775,baleveerana halli baleveerana halli beside govt. primary school
A3954,balgere panathuru post at residential area
A3608,balgere panathuru post beside open area
A4666,ballur attibele post-anekal taluk beside sri lakshminaraya swamy temple
A4665,ballur cross attibele post-anekal taluk beside indian oil petrol bank  m.d.r.fuel station
A174,bamboo bazaar
A733,bamboo bazaar shivaji nagara beside hkbk degree college
A2830,bamboo bazaar shivaji nagara beside petrol bunk
A1273,bamboo bazaar shivaji nagara beside prestige building demolisher
A4755,banamakana halli banamakanahalli in front of anjaneya temple
A4754,banamakana halli gate
A413,bananduru bananduru in front of huchamma temple
A4458,banara halli
A4443,banarahalli
A783,banasawadi banasawadi beside anganwadi kendra
A2994,banasawadi dodda banasawadi in front of more retail shop
A787,banashankari 3rd stage 2nd phase beside hosakerehalli vidya nagara new bus stand
A1245,banashankari 3rd stage 2rd phase banashankari 3rd stage beside ratnagiri pre-university college
A2504,banashankari 3rd stage 2rd phase banashankari 3rd stage dwaraka nagara opposite of ratnagiri public school
A130,banashankari 3rd stage 3rd phase banashankari 3rd stage in front of annapurneshwari choultry
A187,banashankari 3rd stage 3rd phase banashankari 3rd stage in front of little millenium nursery school
A804,banashankari 3rd stage 3rd phase banashankari 3rd stage opposite of pai international electronics shop
A3174,banashankari 5th stage chanasandra in front of manthri apartments
A2063,banashankari bda complex banashankari 2nd stage beside bda complex
A3165,banashankari bda complex banashankari 2nd stage biside hdfc bank
A196,banashankari bus station
A1576,banashankari bus station opp to water tank
A125,banashankari ttmc
A3495,banaswadi dodda banasawadi beside meera bankers
A723,banaswadi dodda banasawadi in front of beauty corner
A4249,bandaiahana palya beeraiyan palya beside residential area
A4242,bandaiahana palya beeraiyan palya beside water tank
A3968,bandapura village anekal taluk opposite of milk product co-operative society
A2799,bande beside open area
A3469,bande bommasandra bonde bommasandra beside ayyappa bakery
A3477,bande bommasandra cross beside open area
A256,bande inorapalya beside open area
A1280,bande kodigehalli bande kodigehalli beside milk dairy
A1458,bande kodigehalli bande kodigehalli beside open area
A2348,bande mallathahalli opposite of padmavathi store
A1293,bande maramma bus station nagarabhavi 2nd stage beside bmtc main stand
A3717,bandenallasandra jigani hubli opposite of government junior primary school
A1325,bandi reddy circle srirampura beside muneshwara swamy temple
A3640,bangalore central jail naganathapura in front of s.r.n.reddys industrial complex
A1891,bangalore central jail naganathapura opposite of s.r.n.reddys industrial complex
A1339,bangalore children hospital kandaswamy layout  rajeshwari nagara in front of sri vinayaka enterprises
A1564,bangalore children hospital kandaswamy layout  rajeshwari nagara opposite of sri vinayaka enterprises
A5013,bangalore city railway station subhash nagar opposite of city railway station
A1377,bangalore dairy circle
A1263,bangalore dairy circle opposite of bangalore dairy
A5073,bangalore door darshana jc nagara beside tv station
A250,bangalore high school kempe gowda nagara in front of more megha store
A1412,bangalore high school shankarapuram in front of maratha hostel
A1158,bangalore univercity gate mysore road
A1247,bangalore univercity gate mysore road mysore road in front of university gate  railway bridge
A1250,bangalore university administrative block bangalore university near head office bangalore university
A3250,bangalore university administrative block bangalore university near head office banglore university
A4187,bangalore university administrative block bangalore univesity  near netaji vana bangalore university
A284,bangalore university gate mysore road
A1356,bangarappa nagara bangarappa nagara in front of global academy technology
A1226,bangla gate bannerghatta anekal road open area
A5188,banglow sulikere mysore road sulikere in front of ashwatha katte
A4107,banglow sulikere mysore road sulikere opposite of ashwatha katte
A5117,banjara layout banjara layout opposite of kamat bakery
A3020,banjara palya banjarpalya in front of door no 11
A3899,banjara palya banjarpalya opposite of door no 11
A3422,bank circle doddaballapura opposite of s.b.i.
A3233,bank colony  canara bank colony in front of mes convent
A242,bank colony banashankari 1st stage  srinivasanagara in front of sulabh showchalaya
A4883,bank colony banashankari 1st stage in front of padmashree clinic
A5155,bank colony banashankri 1st stage
A1810,bank colony nagarbhavi road byraveshwara main road in front of mahesh seat covers bag shop
A1107,bannerghatta circle
A1361,bannerghatta national park
A3028,bannerughatta bannerghatta in front of mahadeshwara bakery
A1363,bannerughatta circle
A1849,bannigiri banigiri beside nisarga furniture works
A4029,bannigiri banigiri beside open area
A664,bannikuppe bannikuppe in front of basavanna temple
A4319,bannimangala doddaballapura in front of anjaneya temple
A290,bapuji nagara
A5065,bar stop basveshwara nagara kamalanagara in front of govt fine price ration depot
A4454,baragur
A1643,basammana halli basammanahalli beside open area
A1401,basammanahalli basammanahalli in front of government school
A4012,basapanpalya basapanpalya opposite of door no 42
A1756,basappa circle
A2431,basappa layout
A3322,basavana devastana basavanna temple beside basavanna temple
A5321,basavana devastana basavanna temple beside kiran tailors
A1460,basavana gudi beside basavanna temple
A4379,basavana gudi beside open area
A2386,basavana palya opposite of petty shop & near basaveshwara temple
A2931,basavanagara bus stand
A1075,basavanagara mysore road check post(basaveshwara nagara) beside vishwa vokkaligara maha samsthana mutt
A275,basavanagara mysore road check post(basaveshwara nagara) opposite of vishwa vokkaligara maha samsthana mutt
A1309,basavanagudi police station
A1775,basavanagudi police station basavanagudi beside achieve school of education
A1413,basavanagudi police station basavanagudi beside basavanagudi police station
A2041,basavanagudi police station basavanagudi in front of ambiance platinum apartment
A4864,basavanahalli basavanahalli in front of govt. primary school
A568,basavanahalli mylahhali basavanahalli in front of govt. primary school
A3331,basavanahalli mylahhali basavanahalli in front of grama panchayat office
A2210,basavanapura  opposite of govt. milk dairy
A1398,basavanapura bannikuppe opposite of ganesha temple
A1100,basavanapura gate
A1364,basavanapura gate bannerghatta road
A2281,basavanapura jalige in front of govt. milk dairy
A2294,basavanna devasthana
A589,basaveshwara college rajajinagara 2nd block beside basaveshwara college
A427,basaveshwara college rajajinagara beside sachin reprographics
A2792,basaveshwara nagara
A1423,basaveshwara nagara 3rd stage saneguruvanahalli in front of g.k.convent & high school
A4933,basaveshwara nagara basaveshwara nagara beside open area
A1239,basaveshwara nagara basaveshwaranagara beside bmtc main bus stop
A1408,basaveshwara nagara basaveshwaranagara in front of anad co-operative bank ltd
A424,basaveshwara nagara circle basaveshwaranagara in front of muneshwara stores
A1238,basaveshwara nagara circle basaveshwaranagara in front of sowmya medicals
A5069,basaveshwaranagara water tank basaveshwaranagara in front of nanjundeshwara departmental stores  datthathreya plaza
A2208,bashatta halli in front of govt.school
A1879,bashatta halli opposite of govt.school
A5043,bashayam circle
A3813,bashayam circle sadashiva nagara rajaji nagara in front of hotel ganesh prasad
A1434,bashayam circle sadashiva nagara sadashiva nagara beside sankey apartments
A1338,bashayam nagara srirampura srirampura in front of lakshmi medical stores
A3807,bashayam nagara srirampura srirampura opposite of union bank atm
A1959,bashyam circel vyalikaval beside clumax diagnostics
A2097,bashyam circle rajajinagara 4th block beside suman shudda abaharana
A1430,bashyam circle rajajinagara beside prabhu book works
A3546,basvanagara bus station hal beside basaveshwara statue
A3164,bata showroom banashankari 2nd stage beside bata show room
A4994,bata showroom banashankari 2nd stage opposite of bata show room
A1427,bcc layout
A1444,bchannasandra in front of muneshwara temple
A839,bchannasandra ramamurthy nagara under pass entrance
A1129,bda complex cross
A2647,bda complex koramangala koramangala ring road beside bda complex
A224,bda complex koramangala koramangala ring road opposite of bda complex
A1204,bda complex koramangala koramangala ring road opposite of icici bank
A2611,bds nagara k.narayanapura open area
A1551,beedi karmikara colony gate beedi colony beside open area
A3834,beedi karmikara colony kengeri satelite town cdd society
A1454,beemanakuppe beemana kuppe in front of chennigaraya swamy temple
A1079,beemanakuppe cross beemana kuppe opposite of water tank
A402,begadadevanahalli anekal taluk in front of government primary school
A1256,begadadevanahalli anekal taluk opposite of government primary school
A1111,begihalli
A3661,beguru
A2729,beguru  in front of lakshmi narasimha temple
A1455,beguru beguru beside poultry farm
A3406,beguru opposite of lakshmi narasimha temple
A3219,bekary ganapathi pura konanakunte in front of harsha medicals
A3005,bel circle
A359,bel circle bharat electronics limited in front of bharat electronics limited compound
A36,bel circle bharat electronics limited in front of bharat electronics limited park
A855,bel circle jalahalli beside indane mohan gas service
A1512,bel circle jalahalli beside park
A2168,bel hospital jalahalli beside opposite b.e.l. hospital
A1513,bel hospital jalahalli opposite of  bel factory gate
A2869,bel market jalahalli beside new stone bakery
A34,bel market jalahalli beside open area
A4820,belagumba
A4462,belathuru
A621,belathuru kadugodi in front of nandini milk parlour
A2699,belathuru kadugodi in front of s.m.p.solutions
A3912,bella halli belahalli beside open area
A3385,bella halli belahalli beside puncture shop
A2567,bellahalli cross
A3380,bellahalli cross belahalli beside open area
A1287,bellahalli cross bellahalli beside open area
A2195,bellandru  bellandur in front of bhagini restaurant
A3959,bellandru  bellandur in front of govt middle school & shri maligamba temple
A901,bellandur gate bellandur in front of om sai complex
A826,bellandur gate bellandur opposite of angan restuarant
A4583,bellanduru gate
A1782,bellanduru gate sarjapura road
A2485,bellikere varthuru government school (right side)
A3537,beml beml in front of beml limited
A1348,beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex
A1470,beml complex b.e.m.l. layout in front of b.e.m.l. complex park
A2490,beml gate
A1349,beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association
A1505,beml gate b.e.m.l. layout 3rd stage opposite of muthoot financial corp
A2118,beml gate beml opposite of beml limited
A1995,beml gate hal 3rd stage opposite of beml fine arts club
A906,beml gate kundalahalli opposite of hyper city
A2679,beml gate kundalahalli opposite of reliance press
A1465,beml layout 5th stage b.e.m.l. 5th stage beside b.m.t.c. main bus stand
A1343,beml layout 5th stage b.e.m.l. gate layout beside pavan electricals & hardware shop
A2054,beml layout 5th stage b.e.m.l. gate layout beside shri condiments & sweets
A1588,beml layout cross
A5053,bendiganahalli adigondanahalli
A4733,bendiganahalli cross
A2743,bendiganahalli cross bendiganahalli
A552,bennigana halli
A5195,bennigana halli kasturi nagara in front of auxiliary panel channasandra bypass
A1967,benniganahalli
A3549,benniganahalli kasturi nagara opposite of auxiliary panel channasandra bypass
A1346,best club ground b.e.m.l. layout  5th stage in front of oasis super bazaar
A2018,besthamana halli
A4181,bethanagere cross dodderi village in front of aladamara
A1635,bethanagere cross dodderi village opposite of aladamara
A4177,bethanagere cross near lakshmidevi temple
A1532,bethimgere bethamgere in front of government primary school
A677,betta halli gate bettahalli cross beside ganesha temple
A683,betta halli gate bettahalli cross beside open area
A4053,betta halli kaval bettahalli kaval in front of maramma temple
A1526,betta halli layout dodda bettahalli layout beside akshaya hair style
A2157,betta halli layout dodda bettahalli layout beside open area
A1855,betta halli palya bettahalli palya beside open area
A3887,betta kote betta kote opposite of venkateshwara temple
A2292,bettadasanapura
A4624,bettadasanapura cross
A4773,bettahalasuru betta ulsoor in front of ayyappa temple
A1538,bettahalasuru betta ulsoor opposite of ayyappa temple
A2305,bettahalasuru cross
A3399,bettahalasuru cross betta ulsoor beside open area
A1541,bettahalasuru cross betta ulsoor in front of water tank
A5099,bettahalasuru cross betta ulsoor opposite of water tank
A702,bettahalasuru cross in front of indian oil petrol bunk
A4736,bettahalli bendiganahalli near sulibele
A1560,bettahalli cross bettahalli colony beside lakshmi venkateshwara provision store
A1545,bettana palya bettanapalya in front of ayyappa & shanimahathma temple
A4323,bettanahalli in front of government school
A1557,bettenahalli  bettahalli beside anjaneya temple
A2249,bevina mara
A2354,bgs college b.g.s.international school opposite of b.g.s.international school
A1006,bgs college cross gangasandra beside open area
A4013,bgs college gate gangasandra beside open area
A3320,bgs college thotagere beside open area
A1561,bgs health city b.g.s. hospital in front of b.g.s.global hospital
A1071,bgs hospital near abhiman studio beside b.g.s.arch
A4113,bgs hospital near abhiman studio opposite of b.g.s.arch
A1177,bhadrappa layout bhadrappa layout beside medical store
A852,bhadrappa layout bhadrappa layout beside open area
A5007,bhakthana palya bhaktanapalya in front of maramma temple
A2582,bhakthara halli bhaktharahalli in front of hatti mara
A2757,bhakthara halli cross bhaktharahalli opposite of poultry
A4420,bhakthara halli cross bhaktharahalli opposite of residential area
A4416,bhaktharahalli bhaktharahalli in front of venkateswar swami temple
A4415,bhaktharahalli gate bhaktharahalli in front of residential area
A3564,bhakthi yoga ashrama
